sex,year,age,drive_prop
male,2e3,68,0.863013698630137
male,2e3,69,0.9493670886075949
male,2e3,70,0.8472222222222222
male,2e3,71,0.9222222222222223
male,2e3,72,0.9516129032258065
male,2e3,73,0.8873239436619719
male,2e3,74,0.875
male,2e3,75,0.8571428571428571
male,2e3,76,0.9333333333333333
male,2e3,77,0.8269230769230769
male,2e3,78,0.7916666666666666
male,2e3,79,0.82
male,2e3,80,0.8205128205128205
female,2001,17,0.3950617283950617
female,2001,18,0.5192307692307693
female,2001,19,0.6142857142857143
female,2001,20,0.7108433734939759
female,2001,21,0.75
female,2001,22,0.7162162162162162
female,2001,23,0.7660818713450293
female,2001,24,0.8611111111111112
female,2001,25,0.8357142857142857
female,2001,26,0.8554216867469879
female,2001,27,0.8571428571428571
female,2001,28,0.8361581920903954
female,2001,29,0.8539325842696629
female,2001,30,0.8913043478260869
female,2001,31,0.9021739130434783
female,2001,32,0.8713450292397661
female,2001,33,0.8578680203045685
female,2001,34,0.8695652173913043
female,2001,35,0.8917525773195877
female,2001,36,0.8982300884955752
female,2001,37,0.8963963963963963
female,2001,38,0.8984771573604061
female,2001,39,0.9130434782608695
female,2001,40,0.8910891089108911
female,2001,41,0.8626373626373627
female,2001,42,0.9402173913043478
female,2001,43,0.8674698795180723
female,2001,44,0.8920863309352518
female,2001,45,0.8214285714285714
female,2001,46,0.8421052631578947
female,2001,47,0.896969696969697
female,2001,48,0.8378378378378378
female,2001,49,0.85
female,2001,50,0.8218390804597702
female,2001,51,0.8823529411764706
female,2001,52,0.8314606741573034
female,2001,53,0.8125
female,2001,54,0.7928994082840237
female,2001,55,0.7514792899408284
female,2001,56,0.7748344370860927
female,2001,57,0.7421875
female,2001,58,0.7518248175182481
female,2001,59,0.7397260273972602
female,2001,60,0.7383177570093458
female,2001,61,0.6574074074074074
female,2001,62,0.7619047619047619
female,2001,63,0.7293233082706767
female,2001,64,0.7272727272727273
female,2001,65,0.7475728155339806
female,2001,66,0.7431192660550459
female,2001,67,0.7058823529411765
female,2001,68,0.6224489795918368
female,2001,69,0.6699029126213593
female,2001,70,0.6931818181818182
female,2001,71,0.6698113207547169
female,2001,72,0.6909090909090909
female,2001,73,0.6509433962264151
female,2001,74,0.6190476190476191
female,2001,75,0.7282608695652174
female,2001,76,0.6634615384615384
female,2001,77,0.6451612903225806
female,2001,78,0.5416666666666666
female,2001,79,0.6212121212121212
female,2001,80,0.6385542168674698
male,2001,17,0.45985401459854014
male,2001,18,0.6640625
male,2001,19,0.7105263157894737
male,2001,20,0.7938931297709924
male,2001,21,0.8321678321678322
male,2001,22,0.8688524590163934
male,2001,23,0.8090909090909091
male,2001,24,0.8484848484848485
male,2001,25,0.9083333333333333
male,2001,26,0.927007299270073
male,2001,27,0.9029850746268657
male,2001,28,0.9240506329113924
male,2001,29,0.9571428571428572
male,2001,30,0.9659863945578231
male,2001,31,0.9565217391304348
male,2001,32,0.918918918918919
male,2001,33,0.968944099378882
male,2001,34,0.9607843137254902
male,2001,35,0.96875
male,2001,36,0.9841269841269841
male,2001,37,0.9693251533742331
male,2001,38,0.9490445859872612
male,2001,39,0.9602649006622517
male,2001,40,0.967391304347826
male,2001,41,0.9622641509433962
male,2001,42,0.9743589743589743
male,2001,43,0.9379310344827586
male,2001,44,0.9655172413793104
male,2001,45,0.9594594594594594
male,2001,46,0.9754098360655737
male,2001,47,0.9224806201550387
male,2001,48,0.983739837398374
male,2001,49,0.9645390070921985
male,2001,50,0.9512195121951219
male,2001,51,0.953125
male,2001,52,0.9752066115702479
male,2001,53,0.9596774193548387
male,2001,54,0.9774011299435028
male,2001,55,0.9173553719008265
male,2001,56,0.9313725490196079
male,2001,57,0.9504132231404959
male,2001,58,0.9482758620689655
male,2001,59,0.952
male,2001,60,0.9903846153846154
male,2001,61,0.9418604651162791
male,2001,62,0.9489795918367347
male,2001,63,0.9622641509433962
male,2001,64,0.9591836734693877
male,2001,65,0.9642857142857143
male,2001,66,0.946236559139785
male,2001,67,0.9101123595505618
male,2001,68,0.9558823529411765
male,2001,69,0.8876404494382022
male,2001,70,0.9230769230769231
male,2001,71,0.881578947368421
male,2001,72,0.8571428571428571
male,2001,73,0.9875
male,2001,74,0.8648648648648649
male,2001,75,0.9428571428571428
male,2001,76,0.8813559322033898
male,2001,77,0.9230769230769231
male,2001,78,0.8709677419354839
male,2001,79,0.7555555555555555
male,2001,80,0.8166666666666667
female,2002,17,0.3482142857142857
female,2002,18,0.53125
female,2002,19,0.6131386861313869
female,2002,20,0.6271186440677966
female,2002,21,0.6923076923076923
female,2002,22,0.725
female,2002,23,0.7867647058823529
female,2002,24,0.815068493150685
female,2002,25,0.8538461538461538
female,2002,26,0.8666666666666667
female,2002,27,0.823943661971831
female,2002,28,0.8636363636363636
female,2002,29,0.8543046357615894
female,2002,30,0.8580246913580247
female,2002,31,0.8855421686746988
female,2002,32,0.9096385542168675
female,2002,33,0.8807947019867549
female,2002,34,0.8709677419354839
female,2002,35,0.8914285714285715
female,2002,36,0.8502994011976048
female,2002,37,0.9278350515463918
female,2002,38,0.8978494623655914
female,2002,39,0.88268156424581
female,2002,40,0.8553459119496856
female,2002,41,0.8735632183908046
female,2002,42,0.8701298701298701
female,2002,43,0.9171974522292994
female,2002,44,0.8827586206896552
female,2002,45,0.8571428571428571
female,2002,46,0.8260869565217391
female,2002,47,0.78125
female,2002,48,0.8791946308724832
female,2002,49,0.8442622950819673
female,2002,50,0.781021897810219
female,2002,51,0.7894736842105263
female,2002,52,0.8468468468468469
female,2002,53,0.8
female,2002,54,0.8169934640522876
female,2002,55,0.7682119205298014
female,2002,56,0.8248175182481752
female,2002,57,0.7482014388489209
female,2002,58,0.825
female,2002,59,0.7844827586206896
female,2002,60,0.703125
female,2002,61,0.7551020408163265
female,2002,62,0.625
female,2002,63,0.8131868131868132
female,2002,64,0.7115384615384616
female,2002,65,0.7228915662650602
female,2002,66,0.7368421052631579
female,2002,67,0.6842105263157895
female,2002,68,0.7195121951219512
female,2002,69,0.6626506024096386
female,2002,70,0.6404494382022472
female,2002,71,0.7407407407407407
female,2002,72,0.7564102564102564
female,2002,73,0.6263736263736264
female,2002,74,0.6063829787234043
female,2002,75,0.609375
female,2002,76,0.5342465753424658
female,2002,77,0.6091954022988506
female,2002,78,0.5555555555555556
female,2002,79,0.6507936507936508
female,2002,80,0.5777777777777777
male,2002,17,0.45864661654135336
male,2002,18,0.7047619047619048
male,2002,19,0.6754385964912281
male,2002,20,0.7142857142857143
male,2002,21,0.7383177570093458
male,2002,22,0.792
male,2002,23,0.8648648648648649
male,2002,24,0.8666666666666667
male,2002,25,0.9333333333333333
male,2002,26,0.9320388349514563
male,2002,27,0.9416666666666667
male,2002,28,0.9274193548387096
male,2002,29,0.924812030075188
male,2002,30,0.9774436090225563
male,2002,31,0.9732142857142857
male,2002,32,0.9657534246575342
male,2002,33,0.9
male,2002,34,0.9357142857142857
male,2002,35,0.9512195121951219
male,2002,36,0.9732142857142857
male,2002,37,0.9479768786127167
male,2002,38,0.9436619718309859
male,2002,39,0.9714285714285714
male,2002,40,0.9714285714285714
male,2002,41,0.9455782312925171
male,2002,42,0.986013986013986
male,2002,43,0.9485294117647058
male,2002,44,0.9621212121212122
male,2002,45,0.9618320610687023
male,2002,46,0.9772727272727273
male,2002,47,0.9693877551020408
male,2002,48,0.952
male,2002,49,0.954954954954955
male,2002,50,0.9661016949152542
male,2002,51,0.9272727272727272
male,2002,52,0.9217391304347826
male,2002,53,0.9629629629629629
male,2002,54,0.9734513274336283
male,2002,55,0.9743589743589743
male,2002,56,0.9339622641509434
male,2002,57,0.9139784946236559
male,2002,58,0.9411764705882353
male,2002,59,0.968421052631579
male,2002,60,0.9444444444444444
male,2002,61,0.978494623655914
male,2002,62,0.9101123595505618
male,2002,63,0.958904109589041
male,2002,64,0.9693877551020408
male,2002,65,0.9512195121951219
male,2002,66,0.9154929577464789
male,2002,67,0.9186046511627907
male,2002,68,0.9342105263157895
male,2002,69,0.9508196721311475
male,2002,70,0.9054054054054054
male,2002,71,0.8974358974358975
male,2002,72,0.8493150684931506
male,2002,73,0.9390243902439024
male,2002,74,0.9538461538461539
male,2002,75,0.90625
male,2002,76,0.88
male,2002,77,0.8936170212765957
male,2002,78,0.9642857142857143
male,2002,79,0.8444444444444444
male,2002,80,0.6857142857142857
