sex,year,age,mean_ghq
female,2001,39,2.4554455445544554
female,2001,40,2.4923076923076923
female,2001,41,2.3163841807909606
female,2001,42,2.6444444444444444
female,2001,43,2.537037037037037
female,2001,44,2.556390977443609
female,2001,45,1.9570552147239264
female,2001,46,2.5033557046979866
female,2001,47,2.329192546583851
female,2001,48,1.993103448275862
female,2001,49,2.0652173913043477
female,2001,50,2.645348837209302
female,2001,51,2.699248120300752
female,2001,52,2.664772727272727
female,2001,53,2.189542483660131
female,2001,54,2.7604790419161676
female,2001,55,1.9333333333333333
female,2001,56,2.3986013986013988
female,2001,57,2.902439024390244
female,2001,58,2.286764705882353
female,2001,59,2.1379310344827585
female,2001,60,1.4528301886792452
female,2001,61,1.8514851485148516
female,2001,62,1.7087378640776698
female,2001,63,2.1666666666666665
female,2001,64,2.4791666666666665
female,2001,65,2.198019801980198
female,2001,66,2.009433962264151
female,2001,67,1.9263157894736842
female,2001,68,1.7234042553191489
female,2001,69,2.0736842105263156
female,2001,70,1.1839080459770115
female,2001,71,1.7254901960784315
female,2001,72,2.3076923076923075
female,2001,73,1.653061224489796
female,2001,74,1.88
female,2001,75,1.8604651162790697
female,2001,76,1.9270833333333333
female,2001,77,2.10989010989011
female,2001,78,2.753846153846154
female,2001,79,2.4310344827586206
female,2001,80,2.1710526315789473
female,2001,81,1.7702702702702702
female,2001,82,1.9166666666666667
female,2001,83,2.225
female,2001,84,2.4571428571428573
female,2001,85,3
female,2001,86,1.631578947368421
female,2001,87,3.1666666666666665
female,2001,88,3.4545454545454546
female,2001,89,2.8
female,2001,90,3.75
female,2001,91,1.125
female,2001,92,1.25
female,2001,93,2
female,2001,94,3.5
female,2001,95,4.5
female,2001,96,4
female,2001,NA,2
female,2002,15,2.625
female,2002,16,2.2262773722627736
female,2002,17,2.1545454545454548
female,2002,18,1.7049180327868851
female,2002,19,2.2222222222222223
female,2002,20,2.0701754385964914
female,2002,21,2.712
female,2002,22,1.6134453781512605
female,2002,23,2.255639097744361
female,2002,24,2.2214285714285715
female,2002,25,1.6048387096774193
female,2002,26,2.208695652173913
female,2002,27,2.0071942446043165
female,2002,28,2.0153846153846153
female,2002,29,1.972972972972973
female,2002,30,1.9493670886075949
female,2002,31,2.06875
female,2002,32,2.432098765432099
female,2002,33,2.132867132867133
female,2002,34,2.010928961748634
female,2002,35,2.570588235294118
female,2002,36,2.2777777777777777
female,2002,37,2.175531914893617
female,2002,38,2
female,2002,39,2.4827586206896552
female,2002,40,2.0573248407643314
female,2002,41,2.298780487804878
female,2002,42,2.2534246575342465
female,2002,43,2.366013071895425
female,2002,44,2.273381294964029
female,2002,45,2.4152542372881354
female,2002,46,1.8120300751879699
female,2002,47,2.317073170731707
female,2002,48,2.323943661971831
female,2002,49,2.4237288135593222
female,2002,50,2.4732824427480917
female,2002,51,3.193798449612403
female,2002,52,2.3981481481481484
female,2002,53,2.655844155844156
female,2002,54,1.8680555555555556
female,2002,55,1.9859154929577465
female,2002,56,1.9848484848484849
female,2002,57,2.1703703703703705
female,2002,58,2.8947368421052633
female,2002,59,1.9272727272727272
female,2002,60,1.76
female,2002,61,1.7608695652173914
